pk,ascii_name,genus_pk,samples_100,samples_200,iso_codes,macroarea
910,amis,595,f,f,ami,Papunesia
217,siraya,595,f,f,fos,Papunesia
1869,kapampangan,515,f,f,pam,Papunesia
2441,oneida,192,t,t,one,North America
1038,konyagi,276,f,f,cou,Africa
1765,manobowesternbukidnon,513,f,f,mbb,Papunesia
1200,sharanahua,342,f,f,mcd,South America
1175,kadiweu,165,f,f,kbc,South America
2304,samoan,87,f,f,smo,Papunesia
643,bambam,525,f,f,ptu,Papunesia
2527,kannada,149,t,t,kan,Eurasia
1565,osage,391,f,f,osa,North America
344,kalasha,182,f,f,kls,Eurasia
345,kangiryuarmiut,158,f,f,ikt,North America
346,kanjobaleastern,250,f,f,kjb,North America
347,kankanay,514,f,f,kne,Papunesia
340,jemez,215,f,f,tow,North America
341,juang,66,f,f,jun,Eurasia
342,kaian,235,f,f,kct,Papunesia
343,kalanga,274,f,f,kck,Africa
1791,bontok,514,f,f,bnc,Papunesia
348,kanyok,274,f,f,kny,Africa
349,kapingamarangi,87,f,f,kpg,Papunesia
1739,sonsoroltobi,87,f,f,sov,Papunesia
595,sangir,524,f,f,sxn,Papunesia
1976,karimojong,320,f,f,kdj,Africa
1511,keresansantaana,209,f,f,kee,North America
2123,chacobo,342,f,f,cao,South America
1653,mangbetu,315,f,f,mdj,Africa
1738,sisiqa,87,f,f,baa,Papunesia
2528,khalkha,20,t,t,khk,Eurasia
736,pemon,119,f,f,aoc,South America
1567,pare,274,f,f,asa,Africa
2318,yapese,82,f,f,yap,Papunesia
1974,au,428,f,f,avt,Papunesia
2316,tumpisashoshone,477,f,f,par,North America
2317,welsh,187,f,f,cym,Eurasia
2314,lugbara,304,f,f,lgg,Africa
2315,maasai,320,f,f,mas,Africa
2312,campaaxininca,536,f,f,"cni, cpc",South America
2310,bribri,123,f,t,bzd,North America
1657,mlabriminor,69,f,f,mra,Eurasia
2184,udihe,21,f,f,ude,Eurasia
298,chastacosta,262,f,f,,North America
299,chatinotataltepec,332,f,f,cta,North America
296,carolinian,87,f,f,cal,Papunesia
297,catio,135,f,f,cto,South America
294,canamari,206,f,f,knm,South America
295,canela,238,f,f,ram,South America
292,bujeba,274,f,f,nmg,Africa
293,cabecar,123,f,f,cjp,North America
290,boruca,123,f,f,brn,North America
291,britishsignlanguage,330,f,f,bfi,Eurasia
2289,klamath,353,f,f,kla,North America
270,ajie,87,f,f,aji,Papunesia
271,akhvakh,269,f,f,akv,Eurasia
272,algonquin,17,f,f,alq,North America
273,amdo,389,f,f,adx,Eurasia
274,americansignlanguage,330,f,f,ase,North America
275,arabicabbechechad,10,f,f,shu,Africa
276,areare,87,f,f,alu,Papunesia
277,atikamekw,17,f,f,atj,North America
278,auslan,330,f,f,asf,Australia
279,bade,6,f,f,bde,Africa
2408,daga,146,t,t,dgz,Papunesia
2405,miwoksouthernsierra,350,f,t,skd,North America
1454,guahibo,164,f,f,guh,South America
2541,lezgian,267,t,t,lez,Eurasia
2385,passamaquoddymaliseet,17,f,t,pqm,North America
2547,russian,185,t,t,rus,Eurasia
2546,finnish,465,t,t,fin,Eurasia
1780,tuaregahaggar,4,f,f,thv,Africa
1455,gurenggureng,42,f,f,gnr,Australia
2558,balyku,42,f,f,nad,Australia
2549,turkish,19,t,t,tur,Eurasia
2548,spanish,184,t,t,spa,Eurasia
1456,kalami,182,f,f,gwc,Eurasia
2373,wambaya,58,f,t,wmb,Australia
2381,tunica,453,f,t,tun,North America
2380,tsimshiancoast,352,f,t,tsi,North America
2268,mansi,464,f,f,mns,Eurasia
1457,karenpwo,378,f,f,"kjp, pwo",Eurasia
