ID,Name,Description,Contributor_ID,Chapter,Area
1A,Consonant Inventories,,maddiesoni,Consonant Inventories,Phonology
2A,Vowel Quality Inventories,,maddiesoni,Vowel Quality Inventories,Phonology
3A,Consonant-Vowel Ratio,,maddiesoni,Consonant-Vowel Ratio,Phonology
4A,Voicing in Plosives and Fricatives,,maddiesoni,Voicing in Plosives and Fricatives,Phonology
5A,Voicing and Gaps in Plosive Systems,,maddiesoni,Voicing and Gaps in Plosive Systems,Phonology
6A,Uvular Consonants,,maddiesoni,Uvular Consonants,Phonology
7A,Glottalized Consonants,,maddiesoni,Glottalized Consonants,Phonology
8A,Lateral Consonants,,maddiesoni,Lateral Consonants,Phonology
9A,The Velar Nasal,,andersongds,The Velar Nasal,Phonology
10A,Vowel Nasalization,,hajekj,Vowel Nasalization,Phonology
10B,Nasal Vowels in West Africa,,hajekj,Vowel Nasalization,Phonology
11A,Front Rounded Vowels,,maddiesoni,Front Rounded Vowels,Phonology
12A,Syllable Structure,,maddiesoni,Syllable Structure,Phonology
13A,Tone,,maddiesoni,Tone,Phonology
14A,Fixed Stress Locations,,goedemansr vanderhulsth,Fixed Stress Locations,Phonology
15A,Weight-Sensitive Stress,,goedemansr vanderhulsth,Weight-Sensitive Stress,Phonology
16A,Weight Factors in Weight-Sensitive Stress Systems,,goedemansr vanderhulsth,Weight Factors in Weight-Sensitive Stress Systems,Phonology
17A,Rhythm Types,,goedemansr vanderhulsth,Rhythm Types,Phonology
18A,Absence of Common Consonants,,maddiesoni,Absence of Common Consonants,Phonology
19A,Presence of Uncommon Consonants,,maddiesoni,Presence of Uncommon Consonants,Phonology
20A,Fusion of Selected Inflectional Formatives,,bickelb nicholsj,Fusion of Selected Inflectional Formatives,Morphology
21A,Exponence of Selected Inflectional Formatives,,bickelb nicholsj,Exponence of Selected Inflectional Formatives,Morphology
21B,Exponence of Tense-Aspect-Mood Inflection,,bickelb nicholsj,Exponence of Selected Inflectional Formatives,Morphology
22A,Inflectional Synthesis of the Verb,,bickelb nicholsj,Inflectional Synthesis of the Verb,Morphology
23A,Locus of Marking in the Clause,,nicholsj bickelb,Locus of Marking in the Clause,Morphology
24A,Locus of Marking in Possessive Noun Phrases,,nicholsj bickelb,Locus of Marking in Possessive Noun Phrases,Morphology
25A,Locus of Marking: Whole-language Typology,,nicholsj bickelb,Locus of Marking: Whole-language Typology,Morphology
